,,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,C_Norm,,,,,,A_LD,,,,,,B_HD,,,,,,QC,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Drift time (ms),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,C_Norm_1,C_Norm_2,C_Norm_3,C_Norm_4,C_Norm_5,C_Norm_6,A_LD_1,A_LD_2,A_LD_3,A_LD_4,A_LD_5,A_LD_6,B_HD_1,B_HD_2,B_HD_3,B_HD_4,B_HD_5,B_HD_6,D_QC_1,D_QC_2,D_QC_3,D_QC_4
7.48_322.0672m/z,,322.0671959,2,7.475566667,3.023921378,0.161883333,0,0,0,Infinity,B_HD,C_Norm,100 - 0.274,10498.08295,2.54,0,0,0,0,0,0,0,0,0,0,0,0,10877.087,10564.0813,10478.85577,10634.17852,10341.91973,10092.37537,5152.96754,4714.369603,4236.738241,4817.562199
4.08_235.1803m/z,,235.1802569,1,4.08265,2.537934014,0.1762,0,0,0,Infinity,B_HD,C_Norm,100 - 17.1 - 0.683,8767.287644,2.71,0,0,0,0,0,0,0,0,0,0,0,0.310559842,9133.369743,8979.666452,8611.426467,8690.463557,8512.203408,8676.596239,3989.566757,3771.137964,3406.53312,3512.389536
7.46_323.0705m/z,,323.0705403,1,7.46365,3.023921378,0.1476,0,0,0,Infinity,B_HD,C_Norm,100,2627.328675,3.75,0,0,0,0,0,0,0,0,0,0,0,0,2692.03939,2490.754829,2678.274541,2756.628685,2556.384601,2589.890006,1026.511042,918.1859642,825.0946932,955.3894231
3.05_641.2916m/z,,641.2915554,1,3.05415,6.101841352,0.147683333,0,0,0,Infinity,B_HD,C_Norm,100 - 24.6 - 8.32 - 0.144,1146.524768,4.21,0,0,0,0,0,0,0,0,0,0,0,0,1237.940164,1147.873187,1138.46478,1127.914585,1094.531485,1132.424405,239.8545891,233.7500221,207.2841158,228.0969117
6.23_681.0929m/z,,681.0928782,1,6.230266667,7.721799233,0.126166667,0,0,0,Infinity,B_HD,C_Norm,100 - 27.4 - 31.3 - 1.37,1029.714176,9.46,0,0,0,0,0,0,0,0,0,0,0,0,1145.809343,984.7462775,890.4947331,1048.131922,966.399551,1142.703228,151.6294276,183.1413274,179.240565,189.2312408
7.46_189.0503n,189.050256,212.047626,1,7.46365,2.105945245,0.1333,0,0,0,Infinity,B_HD,C_Norm,100 - 6.14,863.838097,4.11,0,0,0,0,0,0,0,0,0,0,0,0,899.649296,838.6137879,902.3337542,860.3967604,810.6460408,871.3889429,274.3001831,251.1773184,248.7802226,249.4228296
6.50_366.0569m/z,,366.0569378,1,6.50405,3.779901723,0.133466667,0,0,0,Infinity,B_HD,C_Norm,100 - 12.4 - 3.88,707.299034,8.7,0,0,0,0,0,0,0,0,0,0,0,0,747.9179698,836.4869706,659.6996099,695.4494092,648.5595986,655.6806461,190.1906414,187.1933043,162.3214837,162.3319575
